juris_id,ecozone,canfi_genus,a,b,c,k,volmin
AB,6,123,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,124,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,125,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,126,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,127,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,128,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,129,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,130,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,131,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,132,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,133,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,134,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,135,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,136,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,137,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,138,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,139,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,140,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,141,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,142,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,143,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,144,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,145,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,146,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,147,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,148,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,149,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,150,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,151,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,152,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,153,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,154,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,155,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,1,0.9827554114,-0.0101179390,3.3599020428,-0.0010000100,25.5000000000
AB,9,2,1.0189023150,-0.0067347970,1.7027184139,-0.0010000100,9.5000000000
AB,9,3,0.8951729703,-0.0235607320,3.5600499911,-0.0010000100,12.5000000000
AB,9,5,0.9407849633,-0.0165236740,9.1465686111,-0.0010000100,52.0000000000
AB,9,6,0.5689117495,-0.0148433310,1.1697704321,-0.0010000100,2.5000000000
AB,9,9,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,10,1.0120986729,-0.0132578450,2.9573579372,-0.0010000100,15.5000000000
AB,9,11,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,12,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,121,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,122,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,123,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,124,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,125,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,126,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,127,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,128,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,129,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,130,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,131,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,132,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,133,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,134,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,135,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,136,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,137,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,138,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,139,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,140,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,141,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,142,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,143,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,144,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,145,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,146,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,147,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,148,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,149,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,150,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,151,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,152,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,153,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,154,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,9,155,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,1,0.9827554114,-0.0101179390,3.3599020428,-0.0010000100,25.5000000000
AB,10,2,1.0189023150,-0.0067347970,1.7027184139,-0.0010000100,9.5000000000
AB,10,3,0.8951729703,-0.0235607320,3.5600499911,-0.0010000100,12.5000000000
AB,10,5,0.9407849633,-0.0165236740,9.1465686111,-0.0010000100,52.0000000000
AB,10,6,0.5689117495,-0.0148433310,1.1697704321,-0.0010000100,2.5000000000
AB,10,9,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,10,1.0120986729,-0.0132578450,2.9573579372,-0.0010000100,15.5000000000
AB,10,11,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,12,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,121,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,122,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,123,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,124,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,125,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,126,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,127,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,128,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,129,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,130,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,131,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,132,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,133,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,134,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,135,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,136,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,137,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,138,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,139,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,140,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,141,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,142,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,143,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,144,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,145,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,146,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,147,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,148,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,149,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,150,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,151,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,152,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,153,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,154,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,10,155,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,14,1,0.9666404000,-0.0084869450,1.3643848303,-0.0010000100,4.0000000000
AB,14,2,0.9327179554,-0.0089277580,2.9250491955,-0.0010000100,23.5000000000
AB,14,3,0.8951729703,-0.0235607320,3.5600499911,-0.0010000100,12.5000000000
AB,14,5,0.9407849633,-0.0165236740,9.1465686111,-0.0010000100,52.0000000000
AB,14,6,0.5689117495,-0.0148433310,1.1697704321,-0.0010000100,2.5000000000
AB,14,9,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,10,1.0120986729,-0.0132578450,2.9573579372,-0.0010000100,15.5000000000
AB,14,11,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,12,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,121,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,122,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,123,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,124,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,125,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,126,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,127,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,128,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,129,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,130,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,131,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,132,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,133,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,134,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,135,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,136,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,137,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,138,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,139,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,140,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,141,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,142,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,143,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,144,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,145,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,146,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,147,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,148,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,149,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,150,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,151,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,152,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,153,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,154,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
AB,14,155,0.9963023106,-0.0117024790,2.8642837736,-0.0010000100,17.0000000000
BC,4,1,0.9371720045,-0.0049544430,1.1802917467,-0.0000000100,5.0000000000
BC,4,2,0.6671121468,-0.0416466420,15.0038399240,-0.0000000100,24.0000000000
BC,4,3,0.8609091024,-0.0130470360,2.4533093087,-0.0025102800,14.5000000000
BC,4,6,1.0630168480,-0.0029347790,0.4477085755,-0.1387054640,4.5000000000
BC,4,8,0.9371720045,-0.0049544430,1.1802917467,-0.0000000100,5.0000000000
BC,4,9,1.1402408843,-0.0031090070,0.5152547586,-0.1236363270,5.5000000000
BC,4,10,1.4519658271,-0.0021496640,0.8574951586,-0.0612388900,14.5000000000
BC,4,12,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,121,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,122,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,123,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,124,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,125,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,126,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,127,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,128,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,129,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,130,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,131,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,132,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,133,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,134,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,135,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,136,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,137,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,138,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,139,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,140,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,141,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,142,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,143,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,144,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,145,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,146,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,147,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,148,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,149,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,150,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,151,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,152,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,153,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,154,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,4,155,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,9,1,0.9371720045,-0.0049544430,1.1802917467,-0.0000000100,5.0000000000
BC,9,2,0.6671121468,-0.0416466420,15.0038399240,-0.0000000100,24.0000000000
BC,9,3,0.8609091024,-0.0130470360,2.4533093087,-0.0025102800,14.5000000000
BC,9,5,0.8021659316,-0.0223597730,1.9856772281,-0.0000000100,4.5000000000
BC,9,6,1.0630168480,-0.0029347790,0.4477085755,-0.1387054640,4.5000000000
BC,9,8,0.9371720045,-0.0049544430,1.1802917467,-0.0000000100,5.0000000000
BC,9,9,1.1402408843,-0.0031090070,0.5152547586,-0.1236363270,5.5000000000
BC,9,10,1.4519658271,-0.0021496640,0.8574951586,-0.0612388900,14.5000000000
BC,9,12,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
BC,9,121,0.5594934213,-0.0638547540,99.9999999900,-0.0000000100,41.5000000000
