juris_id,ecozone,canfi_species,genus,species,variety,vol_min,vol_max,p_sw_low,p_sb_low,p_br_low,p_fl_low,p_sw_high,p_sb_high,p_br_high,p_fl_high
AB,4,500,PSEU,MEN,MEN,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,4,500,PSEU,MEN,GLA,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,4,500,PSEU,SPP,,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,4,600,LARI,SPP,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,4,601,LARI,DEC,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,4,602,LARI,LAR,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,4,603,LARI,OCC,,3.8575573987,795.0643258900,0.7311041237,0.0810267988,0.1098500054,0.0780190722,0.7679116859,0.1120141347,0.0799389614,0.0401352179
AB,4,1200,POPU,SPP,,28.2425639300,451.7361240400,0.7669260206,0.1718077982,0.0364466129,0.0248195683,0.7840998700,0.1447706541,0.0467443414,0.0243851345
AB,4,1201,POPU,TRE,,28.2425639300,451.7361240400,0.7669260206,0.1718077982,0.0364466129,0.0248195683,0.7840998700,0.1447706541,0.0467443414,0.0243851345
AB,4,1203,POPU,BAL,,156.0109161100,364.4953019300,0.6580039138,0.1429591273,0.1751725380,0.0238644209,0.6682737552,0.1387510310,0.1694282372,0.0235469766
AB,4,1203,POPU,BAL,BAL,156.0109161100,364.4953019300,0.6580039138,0.1429591273,0.1751725380,0.0238644209,0.6682737552,0.1387510310,0.1694282372,0.0235469766
AB,4,1204,POPU,TRI,,156.0109161100,364.4953019300,0.6580039138,0.1429591273,0.1751725380,0.0238644209,0.6682737552,0.1387510310,0.1694282372,0.0235469766
AB,4,1205,POPU,DEL,,156.0109161100,364.4953019300,0.6580039138,0.1429591273,0.1751725380,0.0238644209,0.6682737552,0.1387510310,0.1694282372,0.0235469766
AB,4,1205,POPU,DEL,DEL,156.0109161100,364.4953019300,0.6580039138,0.1429591273,0.1751725380,0.0238644209,0.6682737552,0.1387510310,0.1694282372,0.0235469766
AB,4,1214,POPU,AGU,,156.0109161100,364.4953019300,0.6580039138,0.1429591273,0.1751725380,0.0238644209,0.6682737552,0.1387510310,0.1694282372,0.0235469766
AB,4,1303,BETU,PAP,,20.6839769790,154.9467844500,0.6987888216,0.1296315941,0.1347381619,0.0368414223,0.7068045777,0.1133610101,0.1278766548,0.0519577573
AB,4,1303,BETU,PAP,PAP,20.6839769790,154.9467844500,0.6987888216,0.1296315941,0.1347381619,0.0368414223,0.7068045777,0.1133610101,0.1278766548,0.0519577573
AB,5,100,PICE,SPP,,7.6630926566,658.3502488500,0.4497097243,0.0747312508,0.2039357582,0.2716232667,0.7594824475,0.1135363871,0.0866798942,0.0403012713
AB,5,101,PICE,MAR,,0.7689271919,392.9801247600,0.5515335214,0.1187320224,0.1378277389,0.1919067173,0.7572216262,0.0904216285,0.0934936630,0.0588630823
AB,5,105,PICE,GLA,,7.6630926566,658.3502488500,0.4497097243,0.0747312508,0.2039357582,0.2716232667,0.7594824475,0.1135363871,0.0866798942,0.0403012713
AB,5,200,PINU,SPP,,0.6332421665,643.0830585100,0.7083260161,0.1030812211,0.0994047589,0.0891880039,0.8269853488,0.0748230702,0.0693619153,0.0288296657
AB,5,203,PINU,BAN,,0.5250358107,228.6156928300,0.6956459972,0.1100579545,0.0915889314,0.1027071170,0.8264451101,0.0686281339,0.0696890265,0.0352377295
AB,5,204,PINU,CON,,0.6332421665,643.0830585100,0.7083260161,0.1030812211,0.0994047589,0.0891880039,0.8269853488,0.0748230702,0.0693619153,0.0288296657
AB,5,204,PINU,CON,LAT,0.6332421665,643.0830585100,0.7083260161,0.1030812211,0.0994047589,0.0891880039,0.8269853488,0.0748230702,0.0693619153,0.0288296657
AB,5,216,PINU,MUR,,0.5250358107,643.0830585100,0.7091114397,0.1048052881,0.0972959933,0.0887872789,0.8254939937,0.0751885839,0.0699281357,0.0293892867
AB,5,300,ABIE,SPP,,7.7850465269,423.8033026900,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.6930521241,0.1041264808,0.1299263125,0.0728950826
AB,5,302,ABIE,BAL,,7.7850465269,423.8033026900,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.6930521241,0.1041264808,0.1299263125,0.0728950826
AB,5,500,PSEU,MEN,,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,5,500,PSEU,MEN,MEN,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,5,500,PSEU,MEN,GLA,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,5,500,PSEU,SPP,,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,5,600,LARI,SPP,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,5,601,LARI,DEC,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,5,602,LARI,LAR,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,5,1200,POPU,SPP,,0.6614660513,802.8967048900,0.6965377970,0.2051170980,0.0497082564,0.0486368485,0.7614503305,0.1200898182,0.0869329563,0.0315268951
AB,5,1201,POPU,TRE,,0.6614660513,802.8967048900,0.6965377970,0.2051170980,0.0497082564,0.0486368485,0.7614503305,0.1200898182,0.0869329563,0.0315268951
AB,5,1203,POPU,BAL,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,5,1203,POPU,BAL,BAL,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,5,1204,POPU,TRI,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,5,1205,POPU,DEL,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,5,1205,POPU,DEL,DEL,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,5,1214,POPU,AGU,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,5,1303,BETU,PAP,,20.6839769790,154.9467844500,0.6987888216,0.1296315941,0.1347381619,0.0368414223,0.7068045777,0.1133610101,0.1278766548,0.0519577573
AB,5,1303,BETU,PAP,PAP,20.6839769790,154.9467844500,0.6987888216,0.1296315941,0.1347381619,0.0368414223,0.7068045777,0.1133610101,0.1278766548,0.0519577573
AB,6,100,PICE,SPP,,7.6630926566,658.3502488500,0.4497097243,0.0747312508,0.2039357582,0.2716232667,0.7594824475,0.1135363871,0.0866798942,0.0403012713
AB,6,101,PICE,MAR,,0.7689271919,392.9801247600,0.5515335214,0.1187320224,0.1378277389,0.1919067173,0.7572216262,0.0904216285,0.0934936630,0.0588630823
AB,6,105,PICE,GLA,,7.6630926566,658.3502488500,0.4497097243,0.0747312508,0.2039357582,0.2716232667,0.7594824475,0.1135363871,0.0866798942,0.0403012713
AB,6,200,PINU,SPP,,0.6332421665,643.0830585100,0.7083260161,0.1030812211,0.0994047589,0.0891880039,0.8269853488,0.0748230702,0.0693619153,0.0288296657
AB,6,203,PINU,BAN,,0.5250358107,228.6156928300,0.6956459972,0.1100579545,0.0915889314,0.1027071170,0.8264451101,0.0686281339,0.0696890265,0.0352377295
AB,6,204,PINU,CON,,0.6332421665,643.0830585100,0.7083260161,0.1030812211,0.0994047589,0.0891880039,0.8269853488,0.0748230702,0.0693619153,0.0288296657
AB,6,204,PINU,CON,LAT,0.6332421665,643.0830585100,0.7083260161,0.1030812211,0.0994047589,0.0891880039,0.8269853488,0.0748230702,0.0693619153,0.0288296657
AB,6,216,PINU,MUR,,0.5250358107,643.0830585100,0.7091114397,0.1048052881,0.0972959933,0.0887872789,0.8254939937,0.0751885839,0.0699281357,0.0293892867
AB,6,300,ABIE,SPP,,7.7850465269,423.8033026900,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.6930521241,0.1041264808,0.1299263125,0.0728950826
AB,6,302,ABIE,BAL,,7.7850465269,423.8033026900,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.6930521241,0.1041264808,0.1299263125,0.0728950826
AB,6,500,PSEU,MEN,,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,6,500,PSEU,MEN,MEN,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,6,500,PSEU,MEN,GLA,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,6,500,PSEU,SPP,,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,6,600,LARI,SPP,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,6,601,LARI,DEC,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,6,602,LARI,LAR,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,6,1200,POPU,SPP,,0.6614660513,802.8967048900,0.6965377970,0.2051170980,0.0497082564,0.0486368485,0.7614503305,0.1200898182,0.0869329563,0.0315268951
AB,6,1201,POPU,TRE,,0.6614660513,802.8967048900,0.6965377970,0.2051170980,0.0497082564,0.0486368485,0.7614503305,0.1200898182,0.0869329563,0.0315268951
AB,6,1203,POPU,BAL,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,6,1203,POPU,BAL,BAL,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,6,1204,POPU,TRI,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,6,1205,POPU,DEL,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,6,1205,POPU,DEL,DEL,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,6,1214,POPU,AGU,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,6,1303,BETU,PAP,,20.6839769790,154.9467844500,0.6987888216,0.1296315941,0.1347381619,0.0368414223,0.7068045777,0.1133610101,0.1278766548,0.0519577573
AB,6,1303,BETU,PAP,PAP,20.6839769790,154.9467844500,0.6987888216,0.1296315941,0.1347381619,0.0368414223,0.7068045777,0.1133610101,0.1278766548,0.0519577573
AB,9,100,PICE,SPP,,7.6630926566,658.3502488500,0.4497097243,0.0747312508,0.2039357582,0.2716232667,0.7594824475,0.1135363871,0.0866798942,0.0403012713
AB,9,101,PICE,MAR,,0.7689271919,392.9801247600,0.5515335214,0.1187320224,0.1378277389,0.1919067173,0.7572216262,0.0904216285,0.0934936630,0.0588630823
AB,9,104,PICE,ENG,,105.1404910100,344.4597656700,0.6326964059,0.0813752595,0.1699086621,0.1160196724,0.6559547488,0.0839096358,0.1562829367,0.1038526787
AB,9,104,PICE,ENG,GLA,105.1404910100,344.4597656700,0.6326964059,0.0813752595,0.1699086621,0.1160196724,0.6559547488,0.0839096358,0.1562829367,0.1038526787
AB,9,105,PICE,GLA,,7.6630926566,658.3502488500,0.4497097243,0.0747312508,0.2039357582,0.2716232667,0.7594824475,0.1135363871,0.0866798942,0.0403012713
AB,9,109,PICE,SPP,,7.6630926566,658.3502488500,0.4497097243,0.0747312508,0.2039357582,0.2716232667,0.7594824475,0.1135363871,0.0866798942,0.0403012713
AB,9,200,PINU,SPP,,0.6332421665,643.0830585100,0.7083260161,0.1030812211,0.0994047589,0.0891880039,0.8269853488,0.0748230702,0.0693619153,0.0288296657
AB,9,203,PINU,BAN,,0.5250358107,228.6156928300,0.6956459972,0.1100579545,0.0915889314,0.1027071170,0.8264451101,0.0686281339,0.0696890265,0.0352377295
AB,9,204,PINU,CON,,0.6332421665,643.0830585100,0.7083260161,0.1030812211,0.0994047589,0.0891880039,0.8269853488,0.0748230702,0.0693619153,0.0288296657
AB,9,204,PINU,CON,LAT,0.6332421665,643.0830585100,0.7083260161,0.1030812211,0.0994047589,0.0891880039,0.8269853488,0.0748230702,0.0693619153,0.0288296657
AB,9,206,PINU,ALB,,4.3107879824,377.8951371800,0.7047488996,0.1092339228,0.0904106209,0.0956065568,0.7439867515,0.0779236230,0.1073246481,0.0707649774
AB,9,216,PINU,MUR,,0.5250358107,643.0830585100,0.7091114397,0.1048052881,0.0972959933,0.0887872789,0.8254939937,0.0751885839,0.0699281357,0.0293892867
AB,9,300,ABIE,SPP,,7.7850465269,423.8033026900,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.6930521241,0.1041264808,0.1299263125,0.0728950826
AB,9,302,ABIE,BAL,,7.7850465269,423.8033026900,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.6930521241,0.1041264808,0.1299263125,0.0728950826
AB,9,304,ABIE,LAS,,7.7850465269,423.8033026900,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.6930521241,0.1041264808,0.1299263125,0.0728950826
AB,9,305,ABIE,MX2,,7.7850465269,423.8033026900,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.6930521241,0.1041264808,0.1299263125,0.0728950826
AB,9,306,ABIE,MIX,,7.7850465269,423.8033026900,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.6930521241,0.1041264808,0.1299263125,0.0728950826
AB,9,500,PSEU,MEN,,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,9,500,PSEU,MEN,MEN,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,9,500,PSEU,MEN,GLA,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,9,500,PSEU,SPP,,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,9,600,LARI,SPP,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,9,601,LARI,DEC,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,9,602,LARI,LAR,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,9,603,LARI,OCC,,3.8575573987,795.0643258900,0.7311041237,0.0810267988,0.1098500054,0.0780190722,0.7679116859,0.1120141347,0.0799389614,0.0401352179
AB,9,604,LARI,LYA,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,9,1150,UNKN,SPP,,0.5250358107,658.3502488500,0.6372984137,0.1120386886,0.1200788615,0.1305840362,0.8076745157,0.0811992483,0.0763556441,0.0347705918
AB,9,1200,POPU,SPP,,0.6614660513,802.8967048900,0.6965377970,0.2051170980,0.0497082564,0.0486368485,0.7614503305,0.1200898182,0.0869329563,0.0315268951
AB,9,1201,POPU,TRE,,0.6614660513,802.8967048900,0.6965377970,0.2051170980,0.0497082564,0.0486368485,0.7614503305,0.1200898182,0.0869329563,0.0315268951
AB,9,1203,POPU,BAL,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,9,1203,POPU,BAL,BAL,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,9,1204,POPU,TRI,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,9,1205,POPU,DEL,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,9,1205,POPU,DEL,DEL,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,9,1214,POPU,AGU,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,9,1303,BETU,PAP,,20.6839769790,154.9467844500,0.6987888216,0.1296315941,0.1347381619,0.0368414223,0.7068045777,0.1133610101,0.1278766548,0.0519577573
AB,9,1303,BETU,PAP,PAP,20.6839769790,154.9467844500,0.6987888216,0.1296315941,0.1347381619,0.0368414223,0.7068045777,0.1133610101,0.1278766548,0.0519577573
AB,9,1404,ACER,NEG,,20.6839769790,154.9467844500,0.6987888216,0.1296315941,0.1347381619,0.0368414223,0.7068045777,0.1133610101,0.1278766548,0.0519577573
AB,9,1500,GENH,SPP,,20.6839769790,154.9467844500,0.6987888216,0.1296315941,0.1347381619,0.0368414223,0.7068045777,0.1133610101,0.1278766548,0.0519577573
AB,9,1550,GENH,SPP,,20.6839769790,154.9467844500,0.6987888216,0.1296315941,0.1347381619,0.0368414223,0.7068045777,0.1133610101,0.1278766548,0.0519577573
AB,9,3500,SALI,SPP,,0.2800000000,496.3300000100,0.7085357217,0.1025737024,0.0898738425,0.0990167334,0.7075142464,0.0681200532,0.2059357898,0.0184299106
AB,9,3508,SALI,DIS,,0.2800000000,496.3300000100,0.7085357217,0.1025737024,0.0898738425,0.0990167334,0.7075142464,0.0681200532,0.2059357898,0.0184299106
AB,10,100,PICE,SPP,,7.6630926566,658.3502488500,0.4497097243,0.0747312508,0.2039357582,0.2716232667,0.7594824475,0.1135363871,0.0866798942,0.0403012713
AB,10,101,PICE,MAR,,0.7689271919,392.9801247600,0.5515335214,0.1187320224,0.1378277389,0.1919067173,0.7572216262,0.0904216285,0.0934936630,0.0588630823
AB,10,104,PICE,ENG,,7.6630926566,658.3502488500,0.4497097243,0.0747312508,0.2039357582,0.2716232667,0.7594824475,0.1135363871,0.0866798942,0.0403012713
AB,10,104,PICE,ENG,GLA,7.6630926566,658.3502488500,0.4497097243,0.0747312508,0.2039357582,0.2716232667,0.7594824475,0.1135363871,0.0866798942,0.0403012713
AB,10,105,PICE,GLA,,7.6630926566,658.3502488500,0.4497097243,0.0747312508,0.2039357582,0.2716232667,0.7594824475,0.1135363871,0.0866798942,0.0403012713
AB,10,200,PINU,SPP,,0.6332421665,643.0830585100,0.7083260161,0.1030812211,0.0994047589,0.0891880039,0.8269853488,0.0748230702,0.0693619153,0.0288296657
AB,10,203,PINU,BAN,,0.5250358107,228.6156928300,0.6956459972,0.1100579545,0.0915889314,0.1027071170,0.8264451101,0.0686281339,0.0696890265,0.0352377295
AB,10,204,PINU,CON,,0.6332421665,643.0830585100,0.7083260161,0.1030812211,0.0994047589,0.0891880039,0.8269853488,0.0748230702,0.0693619153,0.0288296657
AB,10,204,PINU,CON,LAT,0.6332421665,643.0830585100,0.7083260161,0.1030812211,0.0994047589,0.0891880039,0.8269853488,0.0748230702,0.0693619153,0.0288296657
AB,10,213,PINU,FLE,,4.3107879824,377.8951371800,0.7047488996,0.1092339228,0.0904106209,0.0956065568,0.7439867515,0.0779236230,0.1073246481,0.0707649774
AB,10,216,PINU,MUR,,0.5250358107,643.0830585100,0.7091114397,0.1048052881,0.0972959933,0.0887872789,0.8254939937,0.0751885839,0.0699281357,0.0293892867
AB,10,300,ABIE,SPP,,7.7850465269,423.8033026900,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.6930521241,0.1041264808,0.1299263125,0.0728950826
AB,10,302,ABIE,BAL,,7.7850465269,423.8033026900,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.6930521241,0.1041264808,0.1299263125,0.0728950826
AB,10,304,ABIE,LAS,,7.7850465269,423.8033026900,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.6930521241,0.1041264808,0.1299263125,0.0728950826
AB,10,500,PSEU,MEN,,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,10,500,PSEU,MEN,MEN,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,10,500,PSEU,MEN,GLA,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,10,500,PSEU,SPP,,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,10,600,LARI,SPP,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,10,602,LARI,LAR,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,10,604,LARI,LYA,,1.6808347273,199.5354490600,0.5630947078,0.1148923377,0.2179020435,0.1041109110,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,10,1150,UNKN,SPP,,0.5250358107,658.3502488500,0.6372984137,0.1120386886,0.1200788615,0.1305840362,0.8076745157,0.0811992483,0.0763556441,0.0347705918
AB,10,1200,POPU,SPP,,0.6614660513,802.8967048900,0.6965377970,0.2051170980,0.0497082564,0.0486368485,0.7614503305,0.1200898182,0.0869329563,0.0315268951
AB,10,1201,POPU,TRE,,0.6614660513,802.8967048900,0.6965377970,0.2051170980,0.0497082564,0.0486368485,0.7614503305,0.1200898182,0.0869329563,0.0315268951
AB,10,1203,POPU,BAL,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,10,1203,POPU,BAL,BAL,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,10,1204,POPU,TRI,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,10,1205,POPU,DEL,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,10,1205,POPU,DEL,DEL,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,10,1214,POPU,AGU,,1.1074390007,504.0791079800,0.6898017069,0.1014740848,0.0817227293,0.1270014790,0.7466255151,0.1030788290,0.1127402349,0.0375554211
AB,10,1303,BETU,PAP,,20.6839769790,154.9467844500,0.6987888216,0.1296315941,0.1347381619,0.0368414223,0.7068045777,0.1133610101,0.1278766548,0.0519577573
AB,10,1303,BETU,PAP,PAP,20.6839769790,154.9467844500,0.6987888216,0.1296315941,0.1347381619,0.0368414223,0.7068045777,0.1133610101,0.1278766548,0.0519577573
AB,10,1404,ACER,NEG,,0.4400000000,509.0900000000,0.6643514013,0.1024030130,0.1604421511,0.0728034346,0.6792775126,0.0730728998,0.2337535580,0.0138960297
